,en,vn,thailand,indonesia
order_status_cancelled.ALREADY_BOUGHT_TO_ANOTHER_SELLER,Already bought to another seller/ In the Mall,Đã mua sản phẩm từ đơn vị bán hàng khác,ซื้อสินค้าจากผู้ขายรายอื่น,Sudah beli produk dari penjual lain
order_status_cancelled.ALREADY_BOUGHT_TO_ANOTHER_ITEM,Already bought to another Item,Đã mua sản phẩm khác,ซื้อผลิตภัณฑ์อื่น,Sudah beli produk lain
order_status_cancelled.WANT_ANOTHER_COLOR_OR_SIZE,Want another Color or Size,Muốn đổi sang Màu hoặc Size khác,ต้องการเปลี่ยนเป็นสีหรือขนาดอื่น,Ingin mengubah Warna atau Ukuran lain 
order_status_cancelled.CHANGED_MIND,Changed mind,Đổi ý không muốn mua nữa,เปลี่ยนใจไม่อยากซื้อแล้ว,Berubah pikiran dan tidak mau beli lagi
order_status_cancelled.BOGUS_BUYER,Bogus buyer,Bogus buyer,ผู้ซื้อปลอม,Pelanggan Palsu
order_status_cancelled.LESS_18_YEARS_OLD_CANT_AFFORD_TO_BUY,< 18 years old cant afford to buy,Dưới 18 tuổi ko có điều kiện để mua,อายุต่ำกว่า 18 ปีไม่สามารถซื้อได้,Pelanggan bawah 18 tahun tidak memenuhi untuk membeli
order_status_cancelled.OTHER,Other,Khác,อื่นๆ,Lain
order_status_cancelled.CUSTOMER,By Customer,Do Khách Hàng,โดยลูกค้า,Oleh pelanggan
order_status_cancelled.LBC,By LBC,Do Đơn Vị Vận Chuyển,เนื่องจากหน่วยขนส่ง, Oleh Eskpedisi
order_status_cancelled.TLS,By Telesales,Do Telesales,โดย เทเลเซลล์,Oleh Telesales
order_status_cancelled.ODZ,By ODZ,Do ODZ,โดย ODZ,Oleh ODZ
order_status_cancelled.BY_ODZ,ODZ,Do ngoài vùng vận chuyển,โดย ODZ,Karenakan diluar wilayah pengiriman
order_status_cancelled.OPERATION,By Operation,Do Vận Hành,เนื่องจากการดำเนินงาน,Oleh Operasi
order_status_cancelled.CAN_NOT_REACH,Can not reach / Busy / Disconnected/ Ringing,Không thể liên lạc để gửi hàng,ติดต่อส่งสินค้าไม่ได้,Tidak dapat dihubungi untuk pengiriman
order_status_cancelled.INVALID_NUMBER,Invalid Number,Số điện thoại sai,เบอร์โทรผิด,Nomor telepon salah
order_status_cancelled.CHANGE_OF_MIND,Change of mind / Deny to receive / Refused to accept,Đổi ý; ko muốn nhận hàng,เปลี่ยนความคิด; ไม่อยากรับสินค้า,"Pelanggan mengubah pikiran,  tidak mau menerima barang"
order_status_cancelled.PAYMENT_NOT_READY,Payment not ready,Không sẵn sàng để thanh toán,ไม่พร้อมจ่าย,Tidak mahu membayar
order_status_cancelled.NOT_AT_HOME,Not at home / Office Closed / Consignee Out,Không có mặt để nhận hàng,ไม่พร้อมรับสินค้า,Pelanggan tidak di tempat untuk menerima barang
order_status_cancelled.ITEM_NOT_THE_SAME_ADS,Item not the same with Ads,Sản phẩm khác với quảng cáo,สินค้าต่างจากโฆษณา,Produk berbeda dengan iklan
order_status_cancelled.DELIVERY_DELAY,Delivery delay,Chuyển hàng bị trễ,จัดส่งล่าช้า,Pengiriman terlambat
order_status_cancelled.NO_CALL_FROM_LBC,No call from LBC,Không thấy đơn vị vận chuyển liên lạc,ไม่พบหน่วยขนส่งติดต่อ,Tidak dapat hubingi dari ekspedisi
order_status_cancelled.JUST_IN_QUIRING,Just inquiring / No confirmation / Cancelled order to telesales before,Chỉ quan tâm; chưa xác nhận mua / Đã hủy đơn với TLS,สนใจเท่านั้น; การซื้อที่ไม่ได้รับการยืนยัน / คำสั่งซื้อถูกยกเลิกด้วย telesale,Hanya tertarik; belum minat beli / Dibatalkan dengan TLS
order_status_cancelled.INCOMPLETE_ADDRESS,Incomplete address,Địa chỉ ko đầy đủ,ที่อยู่ไม่ครบ,Alamatnya tidak lengkap
order_status_cancelled.INCORRECT_ADDRESS,Incorrect address / name / phone number / date of delivery,Sai thông tin vận chuyển,ข้อมูลการจัดส่งไม่ถูกต้อง,Pengiriman salah alamat
order_status_cancelled.WRONG_ITEM,Wrong item,Gửi sai sản phẩm,ส่งสินค้าผิด,Pengiriman salah Produk
order_status_cancelled.DUPLICATE,Duplicate order,Đơn trùng,คำสั่งซ้ำ,Doble pesanan
order_status_cancelled.reason,Reason,Lý do đổi trả,เหตุผลในการคืนสินค้า,Alasan retur
stock_receipt.title,Stock Receipts,Nhập kho,ใบเสร็จสต็อค,Masuk stok
stock_receipt.destination,Destination,Kho đích,คลังสินค้าปลายทาง,Gudang tujuan
stock_receipt.courier,Courier,Đơn vị vận chuyển,หน่วยจัดส่ง,Pihak Eskpedisi
stock_receipt.tracking_number,Tracking number,Mã vận đơn,รหัสใบตราส่งสินค้า,Kode pesanan
stock_issue.title,Stock Issue,Xuất kho,ส่งออก,Ekspor
stock_issue.error_cannot_change_status,Can't change status,Không thể chuyển trạng thái,เปลี่ยนสถานะไม่ได้,Tidak dapat mengubah status
stock_detail.code,Stock Issue,Phiếu xuất,ใบส่งของ,Tagihan
stock_issue_status.NEW,New,Mới,ใหม่,Baru
stock_issue_status.PROCESSING,Processing,Đang xử lý,กำลังดำเนินการ,Pengolahan
stock_issue_status.DONE,Done,Đã xuất,ส่งออก,Sudah ekspor
stock_receipt_status.NEW,New,Mới,ใหม่,Baru
stock_receipt_status.PROCESSING,Processing,Đang xử lý,กำลังดำเนินการ,Pengolahan
stock_receipt_status.DONE,Done,Đã nhập,เข้าแล้ว,Masuk
contact_status.description,Description,Mô tả,อธิบาย,Diskripsi
call_status.page_title,Last Event Status,Cấu hình trạng thái cuộc gọi,กำหนดสถานะการโทร,Layar status panggilan
call_status.code,Code,Mã,รหัส,Kode
call_status.description,Description,Mô tả,อธิบาย,Diskripsi
warehouse.confirm_delete_message,Are you sure to do this ?,Bạn chắc chắn muốn xóa không ?,คุณแน่ใจหรือว่าต้องการลบ?,Anda yakin ingin menghapus?
warehouse.confirm_title,Confirm,Xác thực,ยืนยัน,Konfirmasi
warehouse.code,Code,Mã kho,รหัสคลังสินค้า,Kode Gudang
warehouse.name,Name,Tên kho,ชื่อคลังสินค้า,Nama gudang
warehouse.type,Type,Loại kho,ประเภทคลังสินค้า,Jenis gudang
warehouse.description,Description,Mô tả,อธิบาย,Diskripsi
warehouse.address,Address,Địa chỉ kho,ที่อยู่คลังสินค้า,Alamat gudang
warehouse.status,Status,Trạng thái kho,สถานะคลังสินค้า,Status gudang
warehouse.update_warehouse,Update warehouse,Chỉnh sửa kho hàng,แก้ไขคลังสินค้า,Revisi Gudang
warehouse.add_warehouse,Add warehouse,Thêm kho hàng,เพิ่มคลังสินค้า, Tambah Produk gudang
warehouse.empty_records,Have no warehouse yet,Không tồn tại bản ghi nào,ไม่มีบันทึก,Tidak ada yang catatan
warehouse.cancel,Cancel,Hủy,ยกเลิก,Batal
warehouse.finish,Finish,Lưu,บันทึก,Simpan
warehouse.no,No,Không,ไม่ใช่,Tidak
warehouse.yes,Yes,Có,ใช่,Ada
warehouse.select,Select,Chọn,เลือก,Memilih
warehouse.PHYSICAL,Physical,Kho vật lý,คลังสินค้าทางกายภาพ,Gudang Fisik
warehouse.inactive,Inactive,Không hoạt động,ไม่ใช้งาน,Tidak aktif
warehouse.ACTIVE,Active,Hoạt động,ใช้งาน,Aktif
warehouse.LOGICAL,Logical,Kho ảo,คลังสินค้าเสมือน,Gudang maya
warehouse.empty_records,Have no contacts yet,Không tồn tại bản ghi nào,ไม่มีบันทึก,Tidak ada yang catatan
warehouse.warehouse,Warehouse,Kho,คลังสินค้า,Gudang
warehouse.title,Warehouse,Danh sách kho,รายการคลังสินค้า,Daftar gudang
warehouse.stock,Stocks,Tồn kho,สินค้าคงคลัง,Inventaris
warehouse.issue,Issues,Phiếu xuất,ใบส่งของ,Tagihan
warehouse.receipt,Receipts,Phiếu nhập,ใบรับของ,Tagihan Masuk
warehouse.permission,Permissions,Phân quyền,การกระจายอำนาจ,Desentralisasi
warehouse.select_warehouse,Select warehouse,Chọn kho,เลือกคลังสินค้า,Pilih gudang
warehouse.createdBy,Created by,Người tạo,ผู้สร้าง,Orang dibuat
warehouse.product_code,Product code,Mã sản phẩm,รหัสสินค้า,Kode Produk
warehouse.joined_at,Joined Time,Vào lúc,เข้าร่วมเวลา,Pada
warehouse.vendor,Vendor,Đối tác,พันธมิตร,Pasangan
warehouse.name_length,The length of name field maximum 160 characters,Độ dài tên tối đa 160 ký tự,ชื่อยาวสูงสุด 160 ตัวอักษร,Nama Panjang maksimum 160 karakter
warehouse.address_length,The length of address field maximum 255 characters,Độ dài địa chỉ tối đa 255 ký tự,ความยาวที่อยู่สูงสุด 255 ตัวอักษร,Alamat Panjang  maksimum 255 karakter
warehouse.description_length,The length of description field maximum 255 characters,Độ dài mô tả tối đa 255 ký tự,ความยาวคำอธิบายสูงสุด 255 ตัวอักษร, Deskripsi Panjang maksimum 255 karakter
warehouse.name_code,Name/Code,Tên/Mã,ชื่อ/รหัส,Nama / kode
warehouse.created_at,Created at,Ngày tạo,วันที่สร้าง,Tanggal bikin
warehouse.sku_code_pl,Enter SKU Code,Nhập vào mã SKU,Enter SKU Code,Enter SKU Code
warehouse.sku_code,SKU code,Mã SKU,SKU code,SKU code
warehouse.pro_name,Product name,Tên sản phẩm,Product name,Product name
warehouse.pro_name_pl,Enter product name,Nhập vào tên sản phẩm,Enter product name,Enter product name
warehouse.selling,On sell,Đang bán,On sell,On sell
warehouse.stop_selling,Stop selling,Dừng bán,Stop selling,Stop selling
warehouse.stock_shortage,Lack of export goods,Thiếu hàng xuất,Lack of export goods,Lack of export goods
warehouse.almost_over,Nearly sold out,Sắp hết hàng,Nearly sold out,Nearly sold out
warehouse.sold_out,Out of stock,Hết hàng,Out of stock,Out of stock
warehouse.empty,Not yet in stock,Chưa nhập kho,Not yet in stock,Not yet in stock
warehouse.list_product,Products,Danh sách sản phẩm,Products,Products
warehouse.sku_combo,Combos,Danh sách combo,Combos,Combos
warehouse.sku_combo_search,Search combos,Tìm kiếm combos,Search combos,Search combos
warehouse.channel_sale,Channel sales,Kênh bán hàng,Channel sales,Channel sales
warehouse.waiting_export,Waiting export,Chờ xuất,Waiting export,Waiting export
warehouse.waiting_import,Waiting import,Chờ nhập,Waiting import,Waiting import
warehouse.availability,Availability,Tồn khả dụng,Availability,Availability
warehouse.total_cost,Total cost,Tổng chi phí,Total cost,Total cost
warehouse.sale_price,Sale price,Giá bán,Sale price,Sale price
order.campaign,Campaign,Chiến dịch,แคมเปญ,Kampanye
order.customer_name,Customer name,Khách hàng,ลูกค้า,Pelanggan
